date,1. open,2. high,3. low,4. close,5. volume,5. change in price
2020-11-27 04:18:00,567.79,568.16,567.79,568.16,1005.0,0.37000000000000455
2020-11-27 04:17:00,568.4,568.4,568.4,568.4,1413.0,0.0
2020-11-27 04:16:00,569.0,569.0,569.0,569.0,975.0,0.0
2020-11-27 04:14:00,569.03,569.03,569.0,569.0,1147.0,-0.029999999999972715
2020-11-27 04:11:00,569.5,569.5,569.5,569.5,638.0,0.0
2020-11-27 04:09:00,569.05,569.15,568.99,569.15,2253.0,0.10000000000002274
2020-11-27 04:08:00,569.0,569.0,569.0,569.0,1283.0,0.0
2020-11-27 04:07:00,568.79,570.0,568.79,569.99,3008.0,1.2000000000000455
2020-11-27 04:06:00,566.69,569.29,566.69,569.29,3186.0,2.599999999999909
2020-11-27 04:05:00,567.0,567.0,566.1,566.3,3290.0,-0.7000000000000455
2020-11-27 04:04:00,568.0,568.0,567.11,567.11,2410.0,-0.8899999999999864
2020-11-27 04:03:00,568.0,568.41,568.0,568.0,2087.0,0.0
2020-11-27 04:02:00,571.5,571.5,569.93,569.93,2954.0,-1.57000000000005
2020-11-27 04:01:00,574.0,574.0,571.5,571.5,3779.0,-2.5
2020-11-25 20:00:00,574.7399,575.0,574.5,575.0,7639.0,0.2600999999999658
2020-11-25 19:59:00,574.5,574.73,574.5,574.73,3483.0,0.2300000000000182
2020-11-25 19:58:00,574.29,574.55,574.29,574.5,3695.0,0.21000000000003638
2020-11-25 19:57:00,574.47,574.55,574.29,574.39,5430.0,-0.08000000000004093
2020-11-25 19:56:00,574.4,574.58,574.2,574.45,7358.0,0.05000000000006821
2020-11-25 19:55:00,574.79,574.79,574.32,574.6,5537.0,-0.18999999999994088
2020-11-25 19:54:00,574.8,574.87,574.72,574.87,2747.0,0.07000000000005002
2020-11-25 19:53:00,575.05,575.05,574.9,574.93,1824.0,-0.12000000000000455
2020-11-25 19:52:00,575.2,575.25,575.0,575.0,5258.0,-0.20000000000004547
2020-11-25 19:51:00,575.12,575.29,575.1,575.25,2567.0,0.12999999999999545
2020-11-25 19:50:00,575.2,575.2,575.15,575.15,1369.0,-0.05000000000006821
2020-11-25 19:49:00,575.16,575.16,575.1,575.15,2665.0,-0.009999999999990905
2020-11-25 19:48:00,575.2,575.3,575.17,575.3,1079.0,0.09999999999990905
